series,config,market_title,cum_trades,trade_progress,yes_price,truth,tick,ts,volume,slug
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0,0.0,0.7,0.0,0.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,6.0,0.08571428571428572,0.7,0.0,0.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,7.0,0.1,0.7,0.0,1.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,7.0,0.1,0.7,0.0,2.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,10.0,0.14285714285714285,0.7000000000000001,0.0,3.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,14.0,0.2,0.7000000000000001,0.0,4.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,14.0,0.2,0.7000000000000001,0.0,5.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,15.0,0.21428571428571427,0.72,0.0,6.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,18.0,0.2571428571428571,0.75,0.0,7.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,24.0,0.34285714285714286,0.765,0.0,8.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,28.0,0.4,0.765,0.0,9.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,34.0,0.4857142857142857,0.8,0.0,10.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,41.0,0.5857142857142857,0.8,0.0,11.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,46.0,0.6571428571428571,0.8,0.0,12.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,49.0,0.7,0.675,0.0,13.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,51.0,0.7285714285714285,0.65,0.0,14.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,54.0,0.7714285714285715,0.6900000000000001,0.0,15.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,57.0,0.8142857142857143,0.685,0.0,16.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,62.0,0.8857142857142857,0.66,0.0,17.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,64.0,0.9142857142857143,0.65,0.0,18.0,,,
模拟市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,70.0,1.0,0.635,0.0,19.0,,,
真实市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.0,0.0,0.4226710167586065,0.0,,2025-09-10 04:27:24+00:00,26.749998999999995,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster
真实市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,0.8860759493670886,0.012658227848101266,0.64,0.0,,2025-09-10 07:10:51+00:00,3.2,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster
真实市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,1.7721518987341771,0.02531645569620253,0.303190646806809,0.0,,2025-09-11 12:40:07+00:00,105.671428,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster
真实市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,2.6582278481012658,0.0379746835443038,0.290000001988,0.0,,2025-09-11 12:40:11+00:00,40.84507,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster
真实市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,3.5443037974683542,0.05063291139240506,0.305,0.0,,2025-09-11 12:49:01+00:00,9.0,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster
真实市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,4.4303797468354436,0.06329113924050633,0.3,0.0,,2025-09-11 14:56:17+00:00,15.299999999999999,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster
真实市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,5.3164556962025316,0.0759493670886076,0.3,0.0,,2025-09-11 14:58:23+00:00,12.0,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster
真实市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,6.2025316455696204,0.08860759493670886,0.3,0.0,,2025-09-11 15:05:53+00:00,32.699999999999996,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster
真实市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,7.0886075949367084,0.10126582278481013,0.3,0.0,,2025-09-11 16:46:01+00:00,19.5,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster
真实市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,7.974683544303797,0.11392405063291139,0.3,0.0,,2025-09-11 17:54:53+00:00,31.5,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster
真实市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,8.860759493670887,0.12658227848101267,0.3,0.0,,2025-09-11 18:03:09+00:00,27.0,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster
真实市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,9.746835443037973,0.13924050632911392,0.3,0.0,,2025-09-11 18:28:21+00:00,20.4,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster
真实市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,10.632911392405063,0.1518987341772152,0.30945255474452554,0.0,,2025-09-11 18:30:49+00:00,48.52,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster
真实市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,11.518987341772151,0.16455696202531644,0.316,0.0,,2025-09-11 18:31:41+00:00,6.32,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster
真实市场价格,rq5_spacex_s0,SpaceX星舰第11次试飞助推器回收,12.405063291139241,0.17721518987341772,0.32,0.0,,2025-09-11 19:16:13+00:00,48.0,will-the-chopsticks-catch-spacex-starship-flight-test-11-superheavy-booster
